,Hybrid Com LCOH,Hybrid Com NG Price Change,Hybrid Com NG Payback [yrs],Hybrid Com Pro Price Change,Hybrid Com Pro Payback [yrs],Hybrid Ind LCOH,Hybrid Ind NG Price Change,Hybrid Ind NG Payback [yrs],Hybrid Ind Pro Price Change,Hybrid Ind Pro Payback [yrs],CSP Com LCOH,CSP Com NG Price Change,CSP Com NG Payback [yrs],CSP Com Pro Price Change,CSP Com Pro Payback [yrs],CSP Ind LCOH,CSP Ind NG Price Change,CSP Ind NG Payback [yrs],CSP Ind Pro Price Change,CSP Ind Pro Payback [yrs]
Maryland,6.700736013672935,1.0051277795418438,25.631652927991773,1.4945037650483712,33.260302226138144,6.871974101202749,1.0775687339247058,27.48210950797284,1.558251098653395,35.83669856315777,5.478198553574386,0.6392957548549839,23.65355791313649,1.039385955466602,33.83974427200371,5.478198553574386,0.6561957110906026,24.02978482785289,1.039385955466602,33.83974427200371
Massachusetts,6.459897724295731,0.7524497313760556,21.216828502645715,,,6.615883836418031,1.1042753660657472,26.401856038787237,,,5.545169196038622,0.504300947596209,20.790829167995536,,,5.545169196038622,0.7637194407283102,26.524665977157557,,
Michigan,6.91666924560355,1.7008638513667207,37.1821021082296,2.4300368190446564,50.90766373652698,7.1613941237332055,2.181993301223321,50.64065007846915,2.5513980281344932,60.13629010342619,5.613797527672763,1.192110432491873,38.58275360182636,1.783931330360904,64.07792166467823,5.613797527672763,1.4943559618202984,49.899289358731394,1.783931330360904,64.07792166467823
Minnesota,5.905680264381824,1.3691806364887307,31.366157315201683,1.9286785342830766,40.83846235245746,6.073451993864478,2.657229909533187,60.41596575652373,2.0118780034041546,45.29522231689593,4.815231849638631,0.9317256518562652,30.80993381347308,1.3879156209465067,45.577527196993344,4.815231849638631,1.8995717690080696,71.00944656347933,1.3879156209465067,45.577527196993344
Mississippi,5.460623703744424,1.037348504900429,25.64260412331297,,,5.737239075907972,2.5420522154085337,57.66339610599702,,,4.545038479318229,0.6957453677323202,24.926744163043416,,,4.545038479318229,1.8060123348160078,65.33632761139026,,
Missouri,5.953066831764423,0.9100299774008812,24.361322182347287,1.952177947812756,41.60380076230636,6.141636709530051,1.3760771553207818,33.193089393579406,2.0456914007091744,46.86090543324726,4.835765887376964,0.5515461306932767,21.764859980974705,1.3980986299910556,45.97374836949652,4.835765887376964,0.8708616932106267,29.198855843845347,1.3980986299910556,45.97374836949652
Montana,5.9787065214643125,1.1565638006529926,27.783304614800265,,,6.319102881695646,1.8378397388527774,43.69200431770022,,,4.909035067488737,0.7707253708933408,26.6935655287883,,,4.909035067488737,1.2045937619238687,38.99602935886139,,
Nebraska,4.838758515671598,1.2171730735298742,28.528030685111503,1.3995827005562103,31.302297931312097,4.913631849490302,2.1599731501069495,45.44033439549633,1.4367130421474343,32.62658177796838,3.9929123260207695,0.8295969235798978,28.14533888614384,0.9801201715947281,32.14226862246489,3.9929123260207695,1.567855331340208,53.134578694463634,0.9801201715947281,32.14226862246489
Nevada,4.040270125814579,0.36816391330165266,16.410342710959963,,,4.213588028172691,0.5311726310373277,18.842458222521408,,,3.4363245472421147,0.1636487396944574,14.536576553658994,,,3.4363245472421147,0.2487234307006197,15.983088239510337,,
New Hampshire,6.648986569294359,0.43055717814428623,17.21537178836533,,,6.8028928665883655,0.9312519315913179,24.22070216753243,,,5.641726868606458,0.21384105455803185,15.381466777976247,,,5.641726868606458,0.6016121562077421,22.829390598955047,,
New Jersey,6.7050024188974,1.3132663166801446,29.69838893969251,1.4960920329452012,32.44315913993804,6.854055814925377,1.484532809023622,33.39325441883635,1.5515806026823677,34.51433365136061,5.572418184716942,0.9225179177909062,30.561682336654943,1.0744613895901058,34.880366949255695,5.572418184716942,1.019950840695019,33.27483748282171,1.0744613895901058,34.880366949255695
New Mexico,3.38383554811499,0.5701378800785989,18.59956355494658,,,3.659064377059674,1.3225961185332633,30.278443488091888,,,3.0079233437397823,0.3957103751715831,18.657427842286967,,,3.0079233437397823,0.9092834569446765,30.207727659299948,,
New York,7.545343786003858,2.230234726546592,43.40257700859951,1.8089285183545005,36.78255363583218,8.169288234493065,2.6188605729075958,65.43571472788646,2.041206252137989,49.122773898806344,6.31747688350918,1.7045730177490759,59.78435644176182,1.3518267007330727,44.200893808032454,6.31747688350918,1.7985385455560683,64.90713323714947,1.3518267007330727,44.200893808032454
North Carolina,5.982877510970019,1.1215351076285411,27.750688708309607,1.5871902750140625,35.4775185529945,6.136783808264023,1.838554172763362,42.26899153311912,1.6537443495195776,38.48221278606856,4.835765887376964,0.7147680331966811,25.36661000101326,1.0911420053522007,35.38504083914268,4.835765887376964,1.2367715511887307,40.080573436261105,1.0911420053522007,35.38504083914268
North Dakota,5.7717680296069585,1.5567984821641334,34.68528160574213,1.8622702849526198,40.021907851859154,5.824456671923825,4.457034536576152,110.34013578989654,1.8883990438501483,41.307327803379266,4.6858971098756115,1.0757754914351831,34.91989306452431,1.3237773914582747,43.15973015607191,4.6858971098756115,3.3902983237383104,613.4514560392091,1.3237773914582747,43.15973015607191
Ohio,7.084798916495813,2.2514141489845354,48.202275830589215,2.5134137944437454,53.708208756187055,7.2962467573727094,2.999367861086255,73.8298459412584,2.618272629493037,62.267861791560534,5.712781363173288,1.6217565767503697,55.652151111094334,1.833018280770289,66.91572063214304,5.712781363173288,2.131406453352311,87.97013059437143,1.833018280770289,66.91572063214304
Oklahoma,4.435124639640979,0.6017525387663707,19.74169018886951,1.1994171285102797,28.38927725070457,4.596656924638741,0.7949310692834737,23.081256788366726,1.2795224024987555,31.09342487572539,3.6462607736009582,0.3168530595325824,17.193833424547435,0.8082126325816801,27.611182629675252,3.6462607736009582,0.42381449312976943,19.196034132391894,0.8082126325816801,27.611182629675252
